file,mode,csv_p50,csv_p75,csv_verdict,p50,p75,p90,n_components
dinamina_20260728_p01_full,full,16.0,30.0,OK,21.0,41.0,54.0,1557
dinamina_20260728_p02_full,full,16.0,32.0,OK,21.0,44.0,64.0,1059
dinamina_20260728_p03_full,full,17.0,19.0,MARGINAL,17.0,19.0,23.0,5248
dinamina_20260728_p04_full,full,17.0,20.0,MARGINAL,17.0,20.0,24.0,4532
dinamina_20260728_p05_full,full,17.0,20.0,MARGINAL,18.0,21.0,39.0,4099
dinamina_20260728_p06_full,full,16.0,19.0,MARGINAL,16.0,18.0,23.0,5060
dinamina_20260728_p07_full,full,14.0,17.0,MARGINAL,14.0,19.0,23.0,2721
dinamina_20260728_p08_full,full,16.0,19.0,MARGINAL,10.0,14.0,19.0,3133
dinamina_20260728_p09_full,full,16.0,18.0,MARGINAL,14.0,18.0,21.0,3250
dinamina_20260728_p10_full,full,17.0,20.0,MARGINAL,17.0,20.0,30.0,4617
dinamina_20260728_p11_full,full,17.0,21.0,MARGINAL,15.0,19.0,22.0,3645
dinamina_20260728_p12_full,full,15.0,17.0,MARGINAL,13.0,17.0,20.0,3492
dinamina_20260728_p13_full,full,17.0,20.0,MARGINAL,17.0,19.0,22.0,5125
dinamina_20260728_p14_full,full,16.0,18.0,MARGINAL,15.0,17.0,21.0,7564
dinamina_20260728_p15_full,full,17.0,21.0,MARGINAL,17.0,20.0,26.0,4249
dinamina_20260728_p16_full,full,17.0,20.0,MARGINAL,17.0,19.0,22.0,5577
dinamina_20260728_p17_full,full,17.0,20.0,MARGINAL,16.0,19.0,23.0,5318
dinamina_20260728_p18_full,full,17.0,19.0,MARGINAL,16.0,18.0,23.0,6809
dinamina_20260728_p19_full,full,16.0,19.0,MARGINAL,14.0,19.0,33.0,2666
dinamina_20260728_p20_full,full,16.0,18.0,MARGINAL,15.0,17.0,19.0,6647
dinamina_20260728_p21_full,full,16.0,18.0,MARGINAL,15.0,18.0,20.0,4907
dinamina_20260728_p22_full,full,15.0,17.0,MARGINAL,14.0,17.0,20.0,8088
dinamina_20260728_p23_full,full,15.0,27.0,OK,16.0,47.0,71.89999999999998,1052
